student_key,student_id,student_name,date_of_birth,grade,contact_number
1263,S01263,rebecca ramirez,2013-01-17,Grade 2,+16616648214
1264,S01264,jerry sanders,2017-03-26,Grade 3,+18316181835
1265,S01265,kenneth kemp,2018-09-14,Grade 5,+18292571046
1266,S01266,nicole francis,2007-06-19,Grade 3,+12318571441
1267,S01267,sarah roberts,2018-08-01,Grade 2,+12329973460
1268,S01268,anthony barrett,2015-05-04,Grade 2,+17913539421
1269,S01269,jeremy young,2014-02-06,Grade 4,+18678970192
1270,S01270,lisa allen,2017-11-28,Grade 4,+13262226536
1271,S01271,brittany miller,2006-04-06,Grade 1,+12336537921
1272,S01272,douglas schmidt,2015-05-29,Grade 3,+14294509656
1273,S01273,heather hardy,2010-05-18,Grade 1,+18749630185
1274,S01274,kayla parker,2008-12-07,Grade 1,+16506849500
1275,S01275,danielle franco,2008-10-26,Grade 3,+13903273489
1276,S01276,martha galvan,2010-02-23,Grade 2,+18042966002
1277,S01277,brian bell,2017-10-27,Grade 1,+16895478234
1278,S01278,nicholas garcia,2013-12-13,Grade 1,+13982997532
1279,S01279,grant cruz,2011-07-13,Grade 3,n/a
1280,S01280,debbie hood,2017-03-04,Grade 5,+17402300344
1281,S01281,devin smith,2008-01-30,Grade 3,+16904119060
1282,S01282,michael williams,2009-07-13,Grade 5,+18893617016
1283,S01283,dawn caldwell,2017-10-08,Grade 4,+14122727087
1284,S01284,jacob johnson,2011-11-10,Grade 4,+13889337869
1285,S01285,douglas sullivan,2009-09-18,Grade 2,+17262330731
1286,S01286,patrick mitchell,2014-04-25,Grade 5,+16384204029
1287,S01287,john williams,2017-06-02,Grade 5,+17559534933
1288,S01288,sharon black,2008-06-18,Grade 3,n/a
1289,S01289,brian hill,2009-03-11,Grade 5,+18389625980
1290,S01290,emily pitts,2007-07-17,Grade 3,+15657025081
1291,S01291,amy hendrix,2013-05-04,Grade 2,+16029015809
1292,S01292,anthony doyle,2013-02-14,Grade 1,+15957712323
1293,S01293,joseph west,2015-10-17,Grade 4,+15079146034
1294,S01294,brian parker jr.,2011-03-22,Grade 4,+15149623915
1295,S01295,john foley,2012-11-04,Grade 3,+16196406598
1296,S01296,morgan rivera,2008-12-14,Grade 4,+12496555267
1297,S01297,justin singh,2010-12-16,Grade 4,n/a
1298,S01298,kimberly wood,2016-02-25,Grade 3,+19664368639
1299,S01299,alex evans,2013-12-26,Grade 5,+17483209478
1300,S01300,vincent mclaughlin,2008-02-18,Grade 4,+18273506174
1301,S01301,mary davies,2008-05-20,Grade 4,+12923656226
1302,S01302,ashley jackson,2007-04-20,Grade 4,+14979907932
1303,S01303,brent hudson,2010-11-27,Grade 4,+13947399631
1304,S01304,laurie booker,2012-10-10,Grade 3,+14266719582
1305,S01305,christopher casey,2009-04-10,Grade 4,+17254805765
1306,S01306,joseph torres,2017-12-23,Grade 5,+19624230708
1307,S01307,courtney pena,2010-11-24,Grade 3,+17787209630
1308,S01308,patricia coffey,2016-10-05,Grade 2,+16597149370
1309,S01309,jessica green,2009-09-30,Grade 5,+18992211214
1310,S01310,melissa robinson,2018-10-23,Grade 4,+15202946179
1311,S01311,jennifer harris,2007-08-08,Grade 1,+14108452075
1312,S01312,ronald rios,2018-06-02,Grade 2,+19299230036
1313,S01313,travis jefferson,2011-06-10,Grade 1,+19127555286
1314,S01314,alicia sheppard,2015-02-09,Grade 2,+12903464819
1315,S01315,johnathan little,2009-09-09,Grade 5,+15595534104
1316,S01316,james roman,2013-02-10,Grade 4,+15812477418
1317,S01317,kirk lowery,2009-04-04,Grade 3,+17563891654
1318,S01318,michael johnson,2006-08-02,Grade 5,+19057552744
1319,S01319,mrs. kimberly henderson,2008-03-14,Grade 5,+16006081114
1320,S01320,dean mccullough md,2014-09-12,Grade 1,+14885528381
1321,S01321,natalie ferguson,2011-01-12,Grade 5,+12015326383
1322,S01322,michael baker,2010-12-28,Grade 5,+17137362405
1323,S01323,tonya romero,2012-09-23,Grade 4,+17139472943
1324,S01324,megan owens,2012-08-06,Grade 3,+18748374587
1325,S01325,ashley moon,2010-09-07,Grade 3,+16502640626
1326,S01326,jamie carey,2011-04-27,Grade 4,+13535438072
1327,S01327,daniel fuller,2014-08-21,Grade 3,+14534177519
1328,S01328,darlene garcia,2007-11-24,Grade 1,+19586755869
1329,S01329,billy hernandez,2016-11-28,Grade 4,+17803606566
1330,S01330,ashley wheeler,2017-11-18,Grade 4,+16682942031
1331,S01331,cassandra decker,2009-12-31,Grade 1,+16962956020
1332,S01332,manuel flores,2016-10-01,Grade 4,+18166175499
1333,S01333,melissa mills,2014-06-29,Grade 2,+12255729985
1334,S01334,jesse wright,2008-04-21,Grade 3,+16442787644
1335,S01335,mary lopez,2006-12-11,Grade 5,+19524643133
1336,S01336,robert bennett,2017-10-31,Grade 4,+18843629491
1337,S01337,martha collins,2011-10-17,Grade 4,+14455254993
1338,S01338,alexis sullivan,2007-08-26,Grade 3,+13865752500
1339,S01339,holly hunt,2015-01-29,Grade 1,+15393384374
1340,S01340,tara dunn,2016-04-28,Grade 1,+18526837062
1341,S01341,diana lynch,2017-10-22,Grade 3,+19729632281
1342,S01342,terry fox,2014-05-01,Grade 1,+19625941349
1343,S01343,kristin lee,2018-10-11,Grade 1,+14622132972
1344,S01344,james sullivan,2014-05-07,Grade 5,+16429455581
1345,S01345,jared campbell,2015-04-29,Grade 4,+19752956108
1346,S01346,michelle cruz dvm,2007-09-16,Grade 4,+13695293393
1347,S01347,hannah munoz,2016-06-24,Grade 5,+15715063043
1348,S01348,derrick gomez,2007-04-01,Grade 3,+13004608426
1349,S01349,joshua martinez,2011-07-17,Grade 5,+16777375172
1350,S01350,timothy rice,2012-01-15,Grade 1,n/a
1351,S01351,tammy small,2019-01-03,Grade 5,+13128941494
1352,S01352,tina fox,2016-06-25,Grade 5,+16223005360
1353,S01353,george edwards,2006-08-06,Grade 4,n/a
1354,S01354,phillip young,2016-04-13,Grade 1,+19098765746
1355,S01355,bryan williams,2006-03-12,Grade 1,+19463626023
1356,S01356,candace lee,2009-01-23,Grade 2,+14822518908
1357,S01357,kara anderson,2008-10-21,Grade 1,+15738313375
1358,S01358,donald king,2011-11-11,Grade 3,+16488228443
1359,S01359,melissa casey,2016-03-10,Grade 2,+13879544073
1360,S01360,danny jennings,2013-05-19,Grade 3,+19576517145
1361,S01361,mr. ricky daniels,2015-09-11,Grade 3,+18386094294
1362,S01362,charlene reyes,2015-12-27,Grade 1,+15409647376
1363,S01363,timothy clayton,2016-06-17,Grade 2,n/a
1364,S01364,lisa velasquez,2014-01-24,Grade 3,+19535204235
1365,S01365,william turner,2008-06-24,Grade 2,+19435689181
1366,S01366,james turner,2010-02-05,Grade 3,+14964461450
1367,S01367,erin clark,2018-09-05,Grade 3,+19704799390
1368,S01368,david cantu,2016-04-06,Grade 1,+18434833922
1369,S01369,terri bernard,2007-03-12,Grade 1,+12168265238
1370,S01370,shane mayer,2014-12-12,Grade 2,+17417449185
1371,S01371,ann rasmussen,2017-07-30,Grade 1,+18118127223
1372,S01372,lori joseph,2007-01-17,Grade 2,+12754301039
1373,S01373,rachel ramirez,2015-06-15,Grade 5,+13288406986
1374,S01374,laurie collins,2015-10-06,Grade 4,+17648580767
1375,S01375,monica miller,2012-09-26,Grade 3,+14718071571
1376,S01376,samuel boyer,2008-06-20,Grade 2,+15014181653
1377,S01377,jacob richardson,2017-11-14,Grade 2,+13369707296
1378,S01378,miranda williams,2017-03-06,Grade 2,+19595465051
1379,S01379,james carter,2018-05-15,Grade 1,+19397504914
1380,S01380,troy barber,2014-02-21,Grade 5,+18208992579
1381,S01381,david robertson,2017-11-08,Grade 1,+19207420386
1382,S01382,james houston,2013-10-17,Grade 1,+18278308936
1383,S01383,victor malone,2015-04-16,Grade 4,n/a
1384,S01384,robert blake,2014-12-11,Grade 5,+18676660929
1385,S01385,george trujillo,2008-10-30,Grade 5,+13357179854
1386,S01386,diana hanson,2018-01-01,Grade 2,+14956058047
1387,S01387,joseph lewis,2013-02-03,Grade 4,+16478974689
1388,S01388,shawn gordon iii,2007-02-11,Grade 1,+16327068020
1389,S01389,ashley bright,2008-05-07,Grade 1,+17927006140
1390,S01390,jordan love dds,2011-12-11,Grade 4,+18717477806
1391,S01391,wendy thomas,2010-10-08,Grade 2,+17383384288
1392,S01392,daniel jordan,2009-03-24,Grade 1,+14273462372
1393,S01393,holly mclean,2011-12-26,Grade 3,+19958638830
1394,S01394,sean hall,2018-06-14,Grade 5,+16989434247
1395,S01395,ronald craig,2017-12-04,Grade 4,+19159850783
1396,S01396,michael benjamin,2015-11-15,Grade 2,+17229104420
1397,S01397,rachel wood,2010-11-27,Grade 1,+15229221959
1398,S01398,william johnston,2007-12-17,Grade 2,+19538903111
1399,S01399,daniel flores,2007-02-26,Grade 4,+13263920083
1400,S01400,nicole carlson,2006-06-13,Grade 3,+18904523534
1401,S01401,melanie logan,2010-11-03,Grade 5,+17629182008
1402,S01402,patrick obrien,2014-11-16,Grade 2,+16269655145
1403,S01403,joshua carson,2018-06-12,Grade 4,+14929167712
1404,S01404,joanne fowler,2009-08-06,Grade 5,+16849702719
1405,S01405,andrew proctor,2013-11-06,Grade 4,+19577306153
1406,S01406,alyssa anthony,2017-06-09,Grade 2,+19095433337
1407,S01407,nathan alexander,2008-04-16,Grade 2,+12422113753
1408,S01408,yolanda parks,2006-07-06,Grade 2,+19168299560
1409,S01409,thomas smith,2010-04-29,Grade 5,+18353420288
1410,S01410,donna payne,2007-10-16,Grade 3,+16374372725
1411,S01411,katherine torres,2016-12-08,Grade 4,+14573797329
1412,S01412,robert garcia,2010-09-04,Grade 1,+17587853847
1413,S01413,carl adams,2015-11-28,Grade 1,+14033276801
1414,S01414,richard lee,2010-12-14,Grade 5,+17138866822
1415,S01415,christine barker,2010-11-22,Grade 5,+19425628245
1416,S01416,lindsey davis,2011-06-24,Grade 5,n/a
1417,S01417,amy phillips,2015-07-10,Grade 2,+14085686415
1418,S01418,linda maddox,2010-09-22,Grade 1,+15068143000
1419,S01419,christina noble,2014-05-06,Grade 4,+15005802967
1420,S01420,steven downs,2010-07-14,Grade 5,+14704404461
1421,S01421,deanna morgan,2013-03-15,Grade 5,+16055255708
1422,S01422,curtis jones,2010-05-11,Grade 3,+17559437892
1423,S01423,linda parker,2018-07-23,Grade 1,+12173849308
1424,S01424,william mcintosh,2018-10-23,Grade 2,+13619359728
1425,S01425,rachael kramer,2013-08-29,Grade 4,+18356517558
1426,S01426,philip green,2017-05-27,Grade 1,+18028559954
1427,S01427,jason black,2010-02-22,Grade 3,+16017653489
1428,S01428,katherine vasquez,2009-02-03,Grade 4,+13037245004
1429,S01429,daniel harris,2008-09-18,Grade 3,+12985064063
1430,S01430,sharon pennington,2013-05-11,Grade 2,+14894951249
1431,S01431,jacob hernandez,2010-07-28,Grade 2,+18942711251
1432,S01432,kaitlin james,2009-04-09,Grade 3,+12169832689
1433,S01433,christopher lawrence,2013-04-06,Grade 4,+17029183929
1434,S01434,brittany rios,2014-01-09,Grade 1,+12824603968
1435,S01435,kevin chapman,2009-03-19,Grade 2,+17283688598
1436,S01436,kyle chase,2016-09-18,Grade 1,+16525820576
1437,S01437,jennifer jenkins,2009-07-18,Grade 4,+13226655822
1438,S01438,amanda buchanan,2013-05-11,Grade 4,n/a
1439,S01439,kathy mullins,2010-10-21,Grade 4,+12695407302
1440,S01440,michelle zavala,2017-05-31,Grade 4,+15696692682
1441,S01441,james graham,2008-11-03,Grade 3,+14306859930
1442,S01442,pamela nelson,2007-08-28,Grade 4,+15344929907
1443,S01443,theresa green,2016-05-30,Grade 4,+17318474084
1444,S01444,mr. caleb vasquez,2018-12-27,Grade 3,+17066544117
1445,S01445,hunter vasquez,2010-09-10,Grade 2,+17993501979
1446,S01446,derek rodriguez,2013-05-12,Grade 1,+15254013541
1447,S01447,tiffany vazquez,2012-08-02,Grade 3,+19053024210
1448,S01448,jennifer ortega,2006-03-14,Grade 4,+18588196962
1449,S01449,ryan evans,2006-12-10,Grade 3,+14219712527
1450,S01450,melissa thompson,2007-04-26,Grade 3,+18848589554
1451,S01451,rebecca sanchez,2006-09-22,Grade 1,+14457130430
1452,S01452,tara pham,2010-05-24,Grade 5,+17025605648
1453,S01453,thomas kemp,2007-12-17,Grade 5,+12263350979
1454,S01454,nancy brown,2011-07-02,Grade 1,+14732931979
1455,S01455,matthew johnson,2007-08-09,Grade 1,+15332750343
1456,S01456,kevin lucero,2007-02-26,Grade 5,+14927397087
1457,S01457,oscar garner,2007-12-26,Grade 2,+13817663722
1458,S01458,jonathan moreno,2010-06-24,Grade 4,+16134690995
1459,S01459,kenneth evans,2017-09-01,Grade 3,+18053498613
1460,S01460,ricky norton,2009-05-13,Grade 1,+12266923156
1461,S01461,lisa mccann,2011-01-05,Grade 1,+13175981742
1462,S01462,summer thomas,2010-06-22,Grade 3,+19467084848
1463,S01463,gerald phelps,2017-07-04,Grade 2,+12245632784
1464,S01464,tracy castro,2011-11-30,Grade 1,+19403017878
1465,S01465,tina wilkerson,2018-08-21,Grade 5,+14287683876
1466,S01466,elizabeth castillo,2013-07-21,Grade 3,+19394659149
1467,S01467,craig flowers,2015-10-03,Grade 3,+14646738679
1468,S01468,richard schaefer,2008-09-05,Grade 3,+16918609565
1469,S01469,kristin chase,2012-11-28,Grade 4,+18162799580
1470,S01470,brittney mccarthy,2011-11-10,Grade 3,+16177173036
1471,S01471,crystal burgess,2011-04-30,Grade 5,+13029104068
1472,S01472,susan matthews,2017-05-30,Grade 5,+13927962827
1473,S01473,jonathan reed,2017-10-22,Grade 4,+12854487030
1474,S01474,karen lucas,2017-09-03,Grade 1,+17492844677
1475,S01475,garrett wilcox,2009-04-01,Grade 2,+17384864871
1476,S01476,stuart bartlett,2014-05-27,Grade 2,+17409799271
1477,S01477,david duncan,2010-02-21,Grade 3,+18704839198
1478,S01478,anthony park,2018-03-19,Grade 4,+17894620513
1479,S01479,richard merritt,2013-07-30,Grade 5,+12418732162
1480,S01480,benjamin farmer,2018-03-22,Grade 3,+13298821702
1481,S01481,melissa lee,2014-09-29,Grade 4,+18364889758
1482,S01482,tracy moses,2007-06-24,Grade 3,+14172928590
1483,S01483,amy watkins,2011-10-07,Grade 1,+18973999074
1484,S01484,kathleen barnett,2016-08-06,Grade 1,+15475628130
1485,S01485,ashley watson,2012-12-01,Grade 3,+13956015311
1486,S01486,david walters,2010-11-05,Grade 2,+17547386417
1487,S01487,tammy young,2009-10-20,Grade 1,+13165293694
1488,S01488,joseph townsend,2011-04-22,Grade 5,+16718312217
1489,S01489,felicia fitzpatrick,2011-05-04,Grade 1,+15045906404
1490,S01490,gabrielle evans,2013-08-02,Grade 4,+15877406231
1491,S01491,susan rosario,2011-10-21,Grade 1,+18308059934
1492,S01492,christopher robinson,2011-07-14,Grade 1,+18164417756
1493,S01493,laura powers,2013-05-19,Grade 4,+14473983532
1494,S01494,lori olson,2009-07-14,Grade 4,+15495485637
1495,S01495,tyler guzman,2011-05-14,Grade 3,+19816018924
1496,S01496,carrie pennington,2011-06-16,Grade 3,+12943975725
1497,S01497,karen caldwell,2017-07-24,Grade 4,+14464334880
1498,S01498,sandra perez,2006-05-11,Grade 4,+18892827408
1499,S01499,tonya schmidt dds,2016-03-10,Grade 5,n/a
1500,S01500,manuel johnston,2011-11-11,Grade 3,+15086698780
1501,S01501,michael terrell,2010-01-10,Grade 5,+14276665679
1502,S01502,richard duncan,2018-01-31,Grade 2,+15936730190
1503,S01503,cheryl estrada,2017-11-21,Grade 3,+16269286286
1504,S01504,joseph ferrell,2008-11-24,Grade 2,+16704180973
1505,S01505,sandra williamson,2014-11-10,Grade 2,+17526128202
1506,S01506,kenneth martin,2008-01-16,Grade 3,+19615367891
1507,S01507,christopher villanueva,2007-07-08,Grade 1,+19539261988
1508,S01508,daniel castro,2009-08-15,Grade 5,+17235824743
1509,S01509,kelsey bright,2018-03-11,Grade 5,+19904160201
1510,S01510,ryan herrera,2016-10-20,Grade 2,+16123280500
1511,S01511,daniel thomas,2015-05-06,Grade 4,+16902324121
1512,S01512,tamara adkins,2013-01-31,Grade 3,+15358796357
1513,S01513,renee diaz,2017-10-15,Grade 5,+16684104212
1514,S01514,shannon ellis,2008-06-29,Grade 5,+16828029313
1515,S01515,angela cole,2007-03-02,Grade 4,+13595351013
1516,S01516,daniel barrett,2006-08-20,Grade 5,+12275058940
1517,S01517,james foster,2016-06-21,Grade 5,+12382925335
1518,S01518,cynthia jones,2007-02-16,Grade 2,+18933972107
1519,S01519,gabrielle moran,2007-09-15,Grade 2,+19017696112
1520,S01520,paula watkins,2016-09-20,Grade 1,+19182241756
1521,S01521,russell hill,2015-06-20,Grade 4,+13994007183
1522,S01522,shelley avila,2016-06-22,Grade 1,+13185387283
1523,S01523,nicole goodwin,2011-01-11,Grade 4,+18982624167
1524,S01524,thomas smith,2010-02-14,Grade 1,+18687088453
1525,S01525,david webb,2015-01-20,Grade 1,+18585326413
1526,S01526,alexander stewart,2019-02-20,Grade 3,+18178080964
1527,S01527,michael sherman,2014-01-07,Grade 5,+15799381000
1528,S01528,mr. christopher larsen,2014-03-29,Grade 5,+18653726909
1529,S01529,katherine hernandez,2008-06-19,Grade 4,+13733824121
1530,S01530,kyle chapman,2016-11-10,Grade 1,+14983553909
1531,S01531,amanda hernandez,2009-08-05,Grade 2,+19969310811
1532,S01532,andrew hughes,2012-09-04,Grade 3,+14213874597
1533,S01533,lisa kirk,2007-09-04,Grade 3,+12529441712
1534,S01534,kimberly vega,2006-08-06,Grade 5,+18385558187
1535,S01535,jennifer scott,2018-03-30,Grade 2,n/a
1536,S01536,steven banks,2013-12-13,Grade 3,+12908326778
1537,S01537,julie johnson,2008-03-15,Grade 4,+18475583008
1538,S01538,william jones,2009-02-14,Grade 3,+14578680503
1539,S01539,jacqueline wright,2007-09-19,Grade 2,+17528212650
1540,S01540,michael stanley,2008-09-04,Grade 3,n/a
1541,S01541,kurt hale,2016-09-04,Grade 1,+13002619392
1542,S01542,deborah benjamin,2011-02-23,Grade 5,+12427914961
1543,S01543,rebecca meyer,2015-01-08,Grade 5,+18319957956
1544,S01544,peter ramirez,2012-03-05,Grade 4,+15883673788
1545,S01545,charlotte yoder,2015-06-26,Grade 2,+14474618374
1546,S01546,james carter,2017-09-21,Grade 1,+18228832942
1547,S01547,mrs. megan diaz md,2008-10-09,Grade 4,+17289619093
1548,S01548,amanda jones,2008-10-16,Grade 1,n/a
1549,S01549,jamie chavez,2010-01-11,Grade 5,+16904528021
1550,S01550,caroline ross,2013-10-30,Grade 1,+15896593971
1551,S01551,oscar smith,2013-07-02,Grade 1,+15744690741
1552,S01552,robin golden,2010-07-18,Grade 3,+13346368282
1553,S01553,abigail cook,2016-07-20,Grade 4,+17582196485
1554,S01554,christopher hurley,2010-09-13,Grade 2,+15454229301
1555,S01555,taylor reed,2012-05-12,Grade 1,+19632149236
1556,S01556,joseph hardy,2017-10-14,Grade 1,+13226086247
1557,S01557,john norton,2013-09-26,Grade 3,+17159441078
1558,S01558,oscar potts,2012-04-03,Grade 5,+16965274593
1559,S01559,david olson,2016-11-16,Grade 1,+19202937549
1560,S01560,justin stevenson,2016-10-29,Grade 2,+13398154367
1561,S01561,stephanie harrison,2014-03-22,Grade 2,+18942085834
1562,S01562,jeanette burns,2011-08-21,Grade 4,+13042990984
1563,S01563,mark morales,2009-09-11,Grade 4,+13303174718
1564,S01564,stefanie faulkner,2017-02-16,Grade 1,+18683969145
1565,S01565,christine howard,2006-10-20,Grade 5,+13215872366
1566,S01566,jeremiah lester,2018-11-16,Grade 5,+12885345736
1567,S01567,david collins,2014-06-24,Grade 1,+14206641122
1568,S01568,elizabeth cohen,2018-02-08,Grade 5,+15517193985
1569,S01569,scott prince,2015-10-08,Grade 2,+15716244220
1570,S01570,susan mendez,2017-06-28,Grade 1,+12453087000
1571,S01571,lisa ramos,2018-09-10,Grade 4,+17624151281
1572,S01572,kayla turner,2016-04-22,Grade 3,+13645293160
1573,S01573,john carter,2013-09-13,Grade 1,+17654920549
1574,S01574,benjamin berry,2014-05-10,Grade 1,+17997660034
1575,S01575,jill ho,2011-11-29,Grade 2,+15003605629
1576,S01576,brian vargas,2012-10-06,Grade 3,+19137481434
1577,S01577,catherine dunn,2010-12-18,Grade 1,+14904133379
1578,S01578,karen dixon,2012-04-08,Grade 1,+12445687997
1579,S01579,barry hahn,2017-05-25,Grade 1,+13264054439
1580,S01580,jasmine hamilton,2009-06-09,Grade 5,+19688579886
1581,S01581,yvette fields,2015-10-05,Grade 4,+18432984624
1582,S01582,ashley clark,2016-12-02,Grade 4,+18166828254
1583,S01583,jessica gonzalez,2007-06-02,Grade 1,+15338734134
1584,S01584,maria perez,2012-05-15,Grade 3,+14727176077
1585,S01585,elizabeth wells,2014-02-18,Grade 4,+17879149571
1586,S01586,veronica adams,2015-07-19,Grade 3,n/a
1587,S01587,kelsey edwards,2018-01-05,Grade 3,+14876304335
1588,S01588,tammy rogers,2009-07-25,Grade 5,+12863837009
1589,S01589,christina maxwell,2018-06-10,Grade 4,+15746313466
1590,S01590,michelle herrera,2013-06-29,Grade 5,+18148402687
1591,S01591,pamela smith,2009-11-10,Grade 4,+15457711133
1592,S01592,ashley roberts,2016-11-06,Grade 2,+13228874845
1593,S01593,robert scott,2008-05-11,Grade 2,+15397393393
1594,S01594,chloe gonzalez,2015-07-01,Grade 2,+12202287153
1595,S01595,jaime johnson,2011-10-31,Grade 5,+19378474810
1596,S01596,ashley kline,2010-03-26,Grade 5,+19399121111
1597,S01597,bryan anderson,2019-03-07,Grade 5,+17246482478
1598,S01598,tyler garcia,2011-05-27,Grade 5,+12039095601
1599,S01599,mrs. susan clark,2014-02-23,Grade 5,+17862125253
1600,S01600,elizabeth phillips,2008-04-04,Grade 3,+13609679307
1601,S01601,joan miller,2019-01-21,Grade 3,+19785860067
1602,S01602,jeffrey dominguez,2006-04-20,Grade 2,+13296365317
1603,S01603,jeffery allen,2006-03-19,Grade 5,+14168970642
1604,S01604,anne aguilar,2008-09-01,Grade 5,+15419340604
1605,S01605,tracy cunningham,2008-04-01,Grade 3,+19556456828
1606,S01606,nancy scott,2018-03-29,Grade 1,+18145066952
1607,S01607,lisa martinez,2009-05-09,Grade 5,+14144698065
1608,S01608,isaac brown,2017-04-24,Grade 5,+15104751421
1609,S01609,sheena acevedo,2010-10-03,Grade 5,+15823912708
1610,S01610,ricardo fletcher,2019-03-07,Grade 4,+17287301736
1611,S01611,kelly young,2019-01-18,Grade 1,+17034374737
1612,S01612,vicki smith,2015-08-30,Grade 3,+16787560392
1613,S01613,laura baker,2009-04-06,Grade 2,+15154986651
1614,S01614,kimberly vazquez,2006-11-21,Grade 1,+18054809826
1615,S01615,donna wilson,2013-08-27,Grade 2,+16399404868
1616,S01616,elaine porter,2014-03-24,Grade 2,+17816499221
1617,S01617,johnny murray,2010-02-22,Grade 2,+17174998026
1618,S01618,stephanie ayers,2010-03-27,Grade 2,n/a
1619,S01619,richard fletcher,2015-02-10,Grade 4,+13385933484
1620,S01620,rodney miller,2015-03-04,Grade 2,+15083952223
1621,S01621,jordan phillips,2009-04-09,Grade 2,+19006343787
1622,S01622,madeline shah,2009-01-30,Grade 1,+13085645174
1623,S01623,calvin taylor,2018-08-22,Grade 5,+17296631118
1624,S01624,kevin thomas,2007-04-14,Grade 2,+16974308136
1625,S01625,matthew lane,2006-10-27,Grade 3,+13328588421
1626,S01626,william valdez,2015-01-11,Grade 1,+14885275657
1627,S01627,kristen jacobs,2012-05-02,Grade 5,+12447881362
1628,S01628,tiffany rose,2012-05-10,Grade 4,+16419950547
1629,S01629,amanda wilson,2009-06-10,Grade 5,+16015661006
1630,S01630,diana bowers,2016-08-26,Grade 2,+15383065585
1631,S01631,eric barrett,2008-08-13,Grade 2,+18043375375
1632,S01632,nicole davis,2008-02-18,Grade 3,n/a
1633,S01633,stephanie newman,2007-11-25,Grade 5,+16076901033
1634,S01634,mrs. kathy wilson,2009-03-15,Grade 5,+19469107154
1635,S01635,melissa thornton,2019-02-04,Grade 3,+14978877906
1636,S01636,gregory scott,2013-11-29,Grade 5,+15847303545
1637,S01637,roger rodriguez,2015-10-06,Grade 2,+17949612536
1638,S01638,amanda perkins,2016-08-05,Grade 5,+18359195427
1639,S01639,stephen johnson,2008-03-25,Grade 1,+16045259077
1640,S01640,kelly pierce,2007-12-23,Grade 1,+13463154520
1641,S01641,patrick welch,2013-08-21,Grade 2,+18227041127
1642,S01642,paul mccormick,2017-08-31,Grade 5,+14887835515
1643,S01643,kyle parker,2017-11-28,Grade 4,+18808907431
1644,S01644,ashley hernandez,2006-04-18,Grade 3,+14109105428
1645,S01645,robert howard,2016-02-25,Grade 5,+13237634536
1646,S01646,garrett smith,2009-03-12,Grade 2,+12144555191
1647,S01647,stephen orr,2010-11-05,Grade 2,+19244021733
1648,S01648,daniel howard,2016-02-16,Grade 5,+17229404014
1649,S01649,scott lopez,2016-05-08,Grade 3,+18412482724
1650,S01650,paula knight,2017-05-31,Grade 4,+16295206770
1651,S01651,troy lawson,2006-06-04,Grade 4,+16103128064
1652,S01652,michael reyes,2009-05-31,Grade 4,+19545465577
1653,S01653,kevin lawson,2008-01-29,Grade 1,+18258629931
1654,S01654,walter holland,2018-11-15,Grade 2,n/a
1655,S01655,ian payne,2015-10-19,Grade 4,+17949501346
1656,S01656,mr. dylan sanchez,2014-09-21,Grade 2,n/a
1657,S01657,stephanie bryant,2007-11-23,Grade 1,n/a
1658,S01658,amy tucker,2018-07-06,Grade 3,+19733335657
1659,S01659,john hobbs,2015-04-14,Grade 5,+12726682207
1660,S01660,jacob gomez,2014-05-06,Grade 4,+16355534973
1661,S01661,james gonzales,2008-09-26,Grade 2,+16959052070
1662,S01662,jennifer harvey,2006-12-07,Grade 3,+16243310483
1663,S01663,keith sims,2018-08-15,Grade 5,+18657552781
1664,S01664,jonathan cruz,2006-07-31,Grade 5,+15433750974
1665,S01665,joshua white dds,2014-11-17,Grade 5,+15146250132
1666,S01666,jon leach,2006-09-03,Grade 1,+12532331629
1667,S01667,connie johnson,2011-08-01,Grade 3,+13782904548
1668,S01668,robert jones,2013-07-10,Grade 4,+16462886318
1669,S01669,michelle wheeler,2012-12-27,Grade 1,+18383307399
1670,S01670,mr. steven mercer,2017-08-03,Grade 4,+14172887045
1671,S01671,john miranda,2009-08-19,Grade 1,+15674879920
1672,S01672,alexis harris,2009-03-24,Grade 4,+14524620230
1673,S01673,carlos yang,2012-08-20,Grade 3,+12299389250
1674,S01674,robert hoover,2016-10-06,Grade 2,+13675126967
1675,S01675,richard guerra,2018-10-14,Grade 3,n/a
1676,S01676,james cole,2012-05-11,Grade 4,+19166481783
1677,S01677,joshua nichols,2018-11-05,Grade 2,+18218079024
1678,S01678,eric garcia,2008-08-14,Grade 3,+14242464419
1679,S01679,derrick johnson,2007-09-20,Grade 4,+16383394921
1680,S01680,darrell garcia,2007-06-16,Grade 4,+13979758616
1681,S01681,alicia wallace,2006-05-18,Grade 2,+17608245637
1682,S01682,kathleen williams,2011-06-25,Grade 3,+15986499720
1683,S01683,raymond aguilar,2017-10-05,Grade 5,+14049402838
1684,S01684,christopher graham jr.,2015-09-06,Grade 1,+17519560180
1685,S01685,angel thornton,2006-10-15,Grade 4,+18325810631
1686,S01686,robert chapman,2007-02-14,Grade 3,n/a
1687,S01687,tanya anderson,2013-09-12,Grade 5,+18584260812
1688,S01688,bradley holmes,2018-08-02,Grade 4,+15625490320
1689,S01689,tristan green,2012-04-27,Grade 3,+12049419858
1690,S01690,joshua james,2012-08-19,Grade 4,+17724647920
1691,S01691,timothy mcpherson,2007-12-11,Grade 2,+12299249113
1692,S01692,kenneth valencia,2010-12-20,Grade 2,+13163023128
